Date,Tournament,Round,Home Team,Away Team,Home Score,Away Score,Home Tries,Away Tries,Home Points,Away Points,Venue,Neutral,Home Rank,Away Rank,Home Elo,Away Elo
2010-02-06,6N,1,ENG,WAL,30,17,3,2,4,0,"Twickenham, London",0,6,8,1940,1920
2010-02-07,6N,1,SCO,FRA,9,18,0,2,0,4,"Murrayfield, Edinburgh",0,10,5,1900,1950
2010-02-13,6N,2,WAL,SCO,31,24,3,2,4,1,"Millennium Stadium, Cardiff",0,8,10,1920,1900
2010-02-13,6N,2,FRA,IRE,33,10,3,1,4,0,"Stade de France, Paris",0,4,5,1960,1950
2010-02-14,6N,2,ITA,ENG,12,17,0,1,1,4,"Stadio Flaminio, Rome",0,11,6,1890,1940
2010-02-26,6N,3,WAL,FRA,20,26,2,2,1,4,"Millennium Stadium, Cardiff",0,8,4,1920,1960
2010-02-27,WQ,,RUS,ROM,21,21,2,2,2,2,So0,,18,19,1820,1810
2010-02-27,6N,3,ITA,SCO,16,12,1,0,4,1,"Stadio Flaminio, Rome",0,11,10,1890,1900
2010-02-27,6N,3,ENG,IRE,16,20,1,3,1,4,"Twickenham, London",0,6,5,1940,1950
2010-03-13,WQ,,ROM,GEO,22,10,1,1,4,0,Bucharest,0,19,18,1810,1820
2010-03-13,6N,4,IRE,WAL,27,12,3,0,4,0,"Croke Park, Dublin",0,5,8,1950,1920
2010-03-13,"6N,CA",4,SCO,ENG,15,15,0,0,2,2,"Murrayfield, Edinburgh",0,10,7,1900,1930
2010-03-14,6N,4,FRA,ITA,46,20,6,2,5,0,"Stade de France, Paris",0,4,11,1960,1890
2010-03-20,6N,5,FRA,ENG,12,10,0,1,4,1,"Stade de France, Paris",0,4,7,1960,1930
2010-03-20,WQ,,GEO,RUS,36,8,5,1,5,0,Trabzon,1,16,19,1840,1810
2010-03-20,6N,5,WAL,ITA,33,10,3,1,4,0,"Millennium Stadium, Cardiff",0,8,11,1920,1890
2010-03-20,6N,5,IRE,SCO,20,23,2,1,1,4,"Croke Park, Dublin",0,5,9,1950,1910
2010-06-05,,,AUS,FIJ,49,3,7,0,5,0,"Bruce Stadium, Canberra",0,3,10,1970,1900
2010-06-05,ST,,WAL,SAF,31,34,3,3,1,4,"Millennium Stadium, Cardiff",0,8,2,1920,1980
2010-06-12,ST,,NZL,IRE,66,28,9,4,5,1,New Plymouth,0,1,5,1990,1950
2010-06-12,"ST,CC",a,AUS,ENG,27,17,3,2,4,0,"Subiaco Oval, Perth_AUS",0,3,6,1970,1940
2010-06-12,ST,1,ARG,SCO,16,24,2,0,0,4,Tucuman,0,7,9,1930,1910
2010-06-12,ST,,SAF,FRA,42,17,5,2,5,0,"Newlands, Cape Town",0,2,4,1980,1960
2010-06-19,"ST,CC",a,AUS,ENG,20,21,2,2,1,4,"Stadium Australia, Sydney",0,4,6,1960,1940
2010-06-19,ST,2,ARG,SCO,9,13,0,1,1,4,Mar del Plata,0,9,7,1910,1930
2010-06-19,ST,1,SAF,ITA,29,13,3,1,4,0,Witbank,0,2,11,1980,1890
2010-06-19,ST,1,NZL,WAL,42,9,5,0,5,0,"Carisbrook, Dunedin",0,1,8,1990,1920
2010-06-26,ST,,AUS,IRE,22,15,2,0,4,1,"Suncorp Stadium, Brisbane",0,3,5,1970,1950
2010-06-26,ST,,ARG,FRA,41,13,4,1,5,0,"Velez Sarsfield, Buenos Aires",0,8,4,1920,1960
2010-06-26,ST,2,SAF,ITA,55,11,7,1,5,0,East_London,0,2,11,1980,1890
2010-06-26,ST,2,NZL,WAL,29,10,2,1,4,0,"Waikato Stadium, Hamilton",0,1,9,1990,1910
2010-07-10,"3N,FC",s,NZL,SAF,32,12,4,0,5,0,"Eden Park, Auckland",0,1,2,1990,1980
2010-07-17,"3N,FC",n,NZL,SAF,31,17,4,2,5,0,"Westpac Trust, Wellington",0,1,2,1990,1980
2010-07-24,"3N,MP",s,AUS,SAF,30,13,2,2,4,0,"Suncorp Stadium, Brisbane",0,3,2,1970,1980
2010-07-31,"3N,BC",n,AUS,NZL,28,49,3,7,0,5,"Colonial Stadium, Melbourne",0,3,1,1970,1990
2010-08-07,"3N,BC",n,NZL,AUS,20,10,2,1,4,0,"Jade Stadium, Christchurch",0,1,3,1990,1970
2010-08-21,"3N,FC",n,SAF,NZL,22,29,1,3,1,4,"Soweto, Johannesburg",0,2,1,1980,1990
2010-08-28,"3N,MP",s,SAF,AUS,44,31,5,4,5,1,"Loftus Versfeld, Pretoria",0,2,3,1980,1970
2010-09-04,"3N,MP",a,SAF,AUS,39,41,3,5,1,5,"Vodacom Park, Bloemfontein",0,3,2,1970,1980
2010-09-11,"3N,BC",n,AUS,NZL,22,23,2,2,1,4,"Stadium Australia, Sydney",0,2,1,1980,1990
2010-10-30,BC,n,NZL,AUS,24,26,3,4,1,5,Hong Kong Stadium,1,1,2,1990,1980
2010-11-06,AI,,WAL,AUS,16,25,1,3,0,4,"Millennium Stadium, Cardiff",0,9,2,1910,1980
2010-11-06,"AI,HS,GS",1,ENG,NZL,16,26,1,2,0,4,"Twickenham, London",0,5,1,1950,1990
2010-11-06,AI,,IRE,SAF,21,23,2,2,1,4,"Lansdowne Rd, Dublin",0,6,3,1940,1970
2010-11-13,"AI,GS",2,SCO,NZL,3,49,0,7,0,5,"Murrayfield, Edinburgh",0,8,1,1920,1990
2010-11-13,WQ,,URU,ROM,21,21,2,2,2,2,Montevideo,0,21,19,1790,1810
2010-11-13,AI,,WAL,SAF,25,29,3,2,1,4,"Millennium Stadium, Cardiff",0,9,2,1910,1980
2010-11-13,"AI,CC",e,ENG,AUS,35,18,2,2,4,0,"Twickenham, London",0,4,3,1960,1970
2010-11-13,AI,,IRE,SAM,20,10,2,1,4,0,"Lansdowne Rd, Dublin",0,6,11,1940,1890
2010-11-13,AI,,ITA,ARG,16,22,1,1,1,4,Verona,0,12,7,1880,1930
2010-11-13,AI,,FRA,FIJ,34,12,3,0,4,0,Nantes,0,5,10,1950,1900
2010-11-19,AI,,WAL,FIJ,16,16,1,1,2,2,"Millennium Stadium, Cardiff",0,9,10,1910,1900
2010-11-20,AI,,FRA,ARG,15,9,0,0,4,1,Montpellier,0,5,8,1950,1920
2010-11-20,AI,,SCO,SAF,21,17,0,1,4,1,"Murrayfield, Edinburgh",0,6,3,1940,1970
2010-11-20,AI,,ENG,SAM,23,13,2,2,4,0,"Twickenham, London",0,4,11,1960,1890
2010-11-20,AI,,ITA,AUS,14,32,1,2,0,4,Florence,0,12,2,1880,1980
2010-11-20,"AI,GS",3,IRE,NZL,18,38,2,4,0,5,"Lansdowne Rd, Dublin",0,7,1,1930,1990
2010-11-27,"AI,GS",4,WAL,NZL,25,37,1,5,0,5,"Millennium Stadium, Cardiff",0,9,1,1910,1990
2010-11-27,AI,,FRA,AUS,16,59,1,7,0,5,"Stade de France, Paris",0,6,2,1940,1980
2010-11-27,WQ,,ROM,URU,39,12,5,2,5,0,Bucharest,0,19,20,1810,1800
2010-11-27,AI,,ENG,SAF,11,21,1,2,0,4,"Twickenham, London",0,4,3,1960,1970
2010-11-27,AI,,SCO,SAM,19,16,1,1,4,1,Aberdeen,0,7,11,1930,1890
2010-11-27,AI,,ITA,FIJ,24,16,0,1,4,0,Modena,0,12,10,1880,1900
2010-11-28,AI,,IRE,ARG,29,9,2,0,4,0,"Lansdowne Rd, Dublin",0,5,8,1950,1920
2011-02-04,6N,1,WAL,ENG,19,26,1,2,1,4,"Millennium Stadium, Cardiff",0,9,4,1910,1960
2011-02-05,6N,1,ITA,IRE,11,13,1,1,1,4,"Stadio Flaminio, Rome",0,12,6,1880,1940
2011-02-05,6N,1,FRA,SCO,34,21,4,3,5,0,"Stade de France, Paris",0,5,7,1950,1930
2011-02-12,6N,2,ENG,ITA,59,13,8,1,5,0,"Twickenham, London",0,5,12,1950,1880
2011-02-12,6N,2,SCO,WAL,6,24,0,2,0,4,"Murrayfield, Edinburgh",0,9,8,1910,1920
2011-02-13,6N,2,IRE,FRA,22,25,3,1,1,4,"Lansdowne Rd, Dublin",0,6,4,1940,1960
2011-02-26,6N,3,ITA,WAL,16,24,2,2,0,4,"Stadio Flaminio, Rome",0,12,7,1880,1930
2011-02-26,6N,3,ENG,FRA,17,9,1,0,4,0,"Twickenham, London",0,4,5,1960,1950
2011-02-27,6N,3,SCO,IRE,18,21,0,3,1,4,"Murrayfield, Edinburgh",0,9,6,1910,1940
2011-03-12,6N,4,ITA,FRA,22,21,1,2,4,1,"Stadio Flaminio, Rome",0,12,5,1880,1950
2011-03-12,6N,4,WAL,IRE,19,13,1,1,4,1,"Millennium Stadium, Cardiff",0,7,6,1930,1940
2011-03-13,"6N,CA",4,ENG,SCO,22,16,1,1,4,1,"Twickenham, London",0,4,9,1960,1910
2011-03-19,6N,5,SCO,ITA,21,8,2,1,4,0,"Murrayfield, Edinburgh",0,9,12,1910,1880
2011-03-19,6N,5,IRE,ENG,24,8,2,1,4,0,"Lansdowne Rd, Dublin",0,4,5,1960,1950
2011-03-19,6N,5,FRA,WAL,28,9,3,0,4,0,"Stade de France, Paris",0,6,7,1940,1930
2011-07-17,WU,,AUS,SAM,23,32,2,4,0,5,"Football Stadium, Sydney",0,3,10,1970,1900
2011-07-22,WU,,NZL,FIJ,60,14,8,2,5,0,"Carisbrook, Dunedin",0,1,14,1990,1860
2011-07-23,"3N,MP",a,AUS,SAF,39,20,5,2,5,0,"Stadium Australia, Sydney",0,2,3,1980,1970
2011-07-30,"3N,FC",,NZL,SAF,40,7,6,1,5,0,"Westpac Trust, Wellington",0,1,3,1990,1970
2011-08-06,"3N,BC",n,NZL,AUS,30,14,3,2,4,0,"Eden Park, Auckland",0,1,2,1990,1980
